"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"37113","39.522675","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1201, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"37114","39.522832","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1201, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-70 dBm"
"37159","39.564714","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1220, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"37160","39.564876","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1220, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"37161","39.565106","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1220, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"37219","39.583066","ArubaNet_11:f1:11","Broadcast","802.11","237","Beacon frame, SN=1208, FN=0, Flags=........., BI=100, SSID=tamulink-wpa[Malformed Packet]","-90 dBm"
"37273","39.625014","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1202, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"37274","39.625113","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1202, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"37275","39.625381","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1202, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"37305","39.667350","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1221, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"37306","39.667413","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1221, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"37307","39.667522","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1221, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"37355","39.727416","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1203, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"37356","39.727483","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1203, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"37357","39.727796","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1203, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"37372","39.769516","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1222, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"37373","39.769581","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1222, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"37374","39.769942","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1222, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"37410","39.829939","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1204, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"37411","39.830033","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1204, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"37412","39.830195","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1204, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"37450","39.872120","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1223, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"37451","39.872188","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1223, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"37452","39.872293","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1223, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"37493","39.932148","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1205, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"37494","39.932257","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1205, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"37495","39.932415","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1205, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"37511","39.974310","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=1224, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"37512","39.974370","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=1224, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"37513","39.974706","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=1224, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"37572","40.034589","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=1206, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"37573","40.034688","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=1206, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"37574","40.034852","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=1206, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
