Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
383,21.4888996,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734686510, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
384,21.5081385,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
385,21.5131232,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734686510 - 3734687046, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
386,21.5133717,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734687046 - 3734687582, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
387,21.5135128,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734687582, Win=16448 (scale factor 0x0) = 16448","{TCP:44, IPv4:43}"
388,21.5136201,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734687582 - 3734688118, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
389,21.5136201,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734688118 - 3734688654, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
390,21.5137553,10.231.231.191,131.253.61.80,,TCP,"TCP:Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734688654, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
391,21.5142813,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #369]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734689190 - 3734689726, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TLS:46, SSLVersionSelector:45, TCP:44, IPv4:43}"
392,21.5144032,10.231.231.191,131.253.61.80,,TCP,"TCP:[Dup Ack #390]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734688654, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
393,21.5521467,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #391]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734689726 - 3734690262, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
394,21.5523379,10.231.231.191,131.253.61.80,,TCP,"TCP:[Dup Ack #390]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734688654, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
395,21.5525222,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #391]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734690262 - 3734690798, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
396,21.5526372,10.231.231.191,131.253.61.80,,TCP,"TCP:[Request Fast-Retransmit from Seq3734688654]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734688654, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
397,21.5776499,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #391]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734690798 - 3734691334, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
398,21.5777312,10.231.231.191,131.253.61.80,,TCP,"TCP:[Request Fast-Retransmit from Seq3734688654]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734688654, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
399,21.5779647,131.253.61.80,10.231.231.191,212 (0xD4),TCP,"TCP:[Continuation to #391]Flags=...A...., SrcPort=HTTPS(443), DstPort=9034, PayloadLen=536, Seq=3734691334 - 3734691870, Ack=1519836572, Win=65392 (scale factor 0x0) = 65392","{TCP:44, IPv4:43}"
400,21.5780318,10.231.231.191,131.253.61.80,,TCP,"TCP:[Request Fast-Retransmit from Seq3734688654]Flags=...A...., SrcPort=9034, DstPort=HTTPS(443), PayloadLen=0, Seq=1519836572, Ack=3734688654, Win=17520 (scale factor 0x0) = 17520","{TCP:44, IPv4:43}"
