Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
646,31.3123593,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1237","{UDP:48, IPv4:46}"
647,31.3124231,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1216","{UDP:48, IPv4:46}"
648,31.3233702,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 41","{UDP:48, IPv4:46}"
649,31.3687756,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
650,31.4677644,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
651,31.4921805,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 572","{UDP:48, IPv4:46}"
652,31.4923006,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 24","{UDP:48, IPv4:46}"
653,31.4924952,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 52","{UDP:48, IPv4:46}"
654,31.4984725,clients.l.google.com,10.231.231.191,217 (0xD9),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 107","{UDP:48, IPv4:46}"
655,31.4986487,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 46","{UDP:48, IPv4:46}"
656,31.4987373,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 254","{UDP:48, IPv4:46}"
657,31.4988416,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 46","{UDP:48, IPv4:46}"
658,31.5150189,[921CB6 005390],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
659,31.5383967,[921CB6 005390],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
660,31.5619596,[921CB6 005390],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 8",
661,31.5725274,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
